Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
360.4, 0.41, Answer, 000.0, 14.55, 0, 2, 2, 0, 2.55, 0, 0, 0, 5, 0, 0, 0, 2, 0, 1, 0, Sirius Star_11, MV Serius Star_31, Port, Port, Bow, Bow, 4500, 1389, 8, 359, 20, 0, has strong left, is CBDR, 2100, 0, Port, Port, Bow, Beam, 9, 1, Crossing, Head On, Giveway, Giveway, turn to port, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
660.8, 0.45, Answer, 000.0, 91, 2, 2, 0, 2, 3, 20, 18, 0, 5, 0, 2, 15, 2, 19, 1, 0, Tractor Tug 200_63, Tractor Tug 200_63, Stbd, Stbd, Quarter, Stern, 1100, 844, 180, 179, 0, 358, is CBDR, is CBDR, 1200, 20, Stbd, Stbd, Quarter, Beam, 3, 3, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
913.5, 0.48, Answer, 000.0, 64, 0, 0, 2, 0, 3, 0, 18, 2, 0, 0, 2, 15, 2, 19, 1, 0, Tractor Tug 50_75, HOS Brigadoon_97, Port, Stbd, Bow, Bow, 5000, 3387, 357, 0, 346, 358, is CBDR, is CBDR, 200, 0, Port, Stbd, Bow, Beam, 4, 3, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
