Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
56.0, Beginner, Answer,0,Student78,96,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0, Tanker, Tanker, Starboard, Starboard, Bow, Bow,8306,6159.274,2,2.084541,359,358.2969, no, No, Port, Port, Beam, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 20 degrees, 20 degrees, 20 degrees, , 
128.0, Beginner, Answer,0,Student78,96,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,10794,7458.438,348,348.8782,5,4.815063, no, No, Port, Port, Beam, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
195.0, Beginner, Answer,0,Student78,73,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0, Merchant, Merchant, Starboard, Starboard, Bow, Bow,7562,5867.486,24,23.94025,120,341.8295, no, No, Port, Port, Bow, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 20 degrees, 20 degrees, 20 degrees, , 
251.0, Beginner, Answer,0,Student78,71,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0, Tanker, Tanker, Starboard, Starboard, Bow, Bow,10118,8486.843,0,0.5038241,285,359.6685, no, No, Port, Port, Bow, Beam, None, , Head On, Head On, Stand On, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
300.0, Beginner, Answer,0,Student78,73,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0, Merchant, Merchant, Port, Port, Bow, Bow,10192,8226.412,326,326.3359,346,13.65506, no, No, Starboard, Port, Beam, Beam, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
342.0, Beginner, Answer,0,Student78,78,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0, Tug With Tow, Tug With Tow, Port, Port, Bow, Bow,10027,8125.657,359,359.1961,106,0.3699646, no, No, Port, Port, Beam, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 20 degrees, 20 degrees, 20 degrees, , 
460.0, Beginner, Answer,0,Student78,98,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, Tanker, Tanker, Starboard, Starboard, Quarter, Quarter,2500,1673.902,163,156.2039,350,337.152, no, No, Starboard, Starboard, Beam, Beam, None, , Overtaking, Overtaking, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
546.0, Beginner, Answer,0,Student78,78,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0, Tanker, Tanker, Starboard, Starboard, Bow, Bow,6000,4352.474,19,19.56619,111,343.869, no, No, Port, Port, Beam, Beam, None, , Crossing, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 20 degrees, 20 degrees, 20 degrees, , 
623.0, Beginner, Answer,0,Student78,52,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0, Merchant, Merchant, Port, Port, Bow, Bow,3000,2376.851,356,355.448,249,175.1728, no, No, Port, Port, Bow, Beam, None, , Overtaking, Overtaking, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 20 degrees, 10 degrees, , 
694.0, Beginner, Answer,0,Student78,59,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0, Merchant, Merchant, Starboard, Starboard, Bow, Beam,8000,5534.157,65,65.87152,105,335.2754, no, No, Port, Port, Bow, Bow, None, , Head On, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 70 degrees, 10 degrees, , 
