Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
87.0, Beginner, Answer,0,Student65,67,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0, Merchant, Tanker, Port, Port, Beam, Broad On Bow,7590,5191.137,301,311.4925,350,22.86237, no, No, Starboard, Starboard, Bow, Broad On Bow, None, , Crossing, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
192.0, Beginner, Answer,0,Student65,45,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0, Merchant, Merchant, Starboard, Port, Bow, Bow,9857,3504.028,30,335.379,350,24.62082, no, No, Port, Starboard, Beam, Beam, None, , Crossing, Crossing, Give Way, Stand On, Turn To Starboard, Hold Course And Speed, 10 degrees, 0 degrees, 10 degrees, , 
279.0, Beginner, Answer,0,Student65,67,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0, Merchant, Merchant, Starboard, Port, Bow, Bow,7550,5753.42,20,350.9005,20,4.684021, no, No, Port, Starboard, Beam, Beam, None, , Crossing, Crossing, Give Way, Stand On, Turn To Starboard, Hold Course And Speed, 10 degrees, 0 degrees, 10 degrees, , 
379.0, Beginner, Answer,0,Student65,76,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0, Tanker, Tanker, Port, Port, Bow, Bow,11400,4656.332,359,357.8534,50,357.2881, no, No, Port, Port, Beam, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
499.0, Beginner, Answer,0,Student65,46,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0, Tanker, Tanker, Port, Port, Bow, Broad On Bow, None,4448.382, None,325.1694, None,32.6532, no, No, Port, Starboard, Bow, Broad On Bow, None, , Overtaking, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
611.0, Beginner, Answer,0,Student65,44,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Broad On Bow,14700,3767.534,359,39.71606,110,339.0437, no, No, Starboard, Port, Beam, Broad On Bow, None, , Head On, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 40 degrees, 10 degrees, , 
760.0, Beginner, Answer,0,Student65,78,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0, Merchant, Merchant, Port, Starboard, Bow, Bow,3000,4898.501,358,27.46242,0,341.7928, no, No, Port, Port, Beam, Beam, None, , Overtaking, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 30 degrees, 10 degrees, , 
845.0, Beginner, Answer,0,Student65,49,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0, Tanker, Merchant, Starboard, Starboard, Bow, Broad On Bow,10000,5231.563,1,40.67386,110,338.658, no, No, Port, Port, Beam, Broad On Bow, None, , Head On, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 40 degrees, 10 degrees, , 
925.0, Beginner, Answer,0,Student65,32,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0, Tanker, Tanker, Port, Port, Bow, Bow, None,2663.43, None,357.9118, None,177.7193, no, No, Port, Port, Bow, Beam, None, , Head On, Overtaking, Stand On, Give Way, Hold Course And Speed, Turn To Starboard, 0 degrees, 20 degrees, 10 degrees, , 
1056.0, Beginner, Answer,0,Student65,66,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0, Tanker, Merchant, Port, Port, Bow, Bow, None,7432.078, None,358.3246, None,1.039795, no, No, Port, Port, Bow, Beam, None, , Head On, Head On, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 20 degrees, 10 degrees, , 
