Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,Unnamed: 54
110.2, Answer,0.0,50.0,2.0,2,2,0.0,0.0,0,0,0,5,0,2.0,15.0,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,8200,7138,346,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,8,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , ,
156.3, Answer,0.0,45.7,2.0,0,2,0.0,3.0,0,0,0,0,0,1.7,15.0,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,9000,7878,22,25,11,325, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , ,
243.1,0.28, Answer,0.0,69.7,2,2,2.0,0.0,0,20,0,0,5,0.0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Port, Bow, Bow,5000,3654,180,359,180,180, has strong left, is CBDR,5000,19, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
341.5,0.31, Answer,0.0,54.4,2,2,2.0,1.7,3,0,0,0,5,0.0,1.7,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,3800,3291,360,359,0,180, has strong left, is CBDR,5000,12, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
411.2,0.34, Answer,0.0,47.7,2,0,2.0,0.0,0,0,0,0,5,0.0,1.7,15,2,19,1,0, Tanker, Tanker, Port, Stbd, Bow, Bow,5000,7075,180,29,180,318, has strong left, is CBDR,5000,0, Port, Port, Bow, Broad,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
511.3, Answer,0.0,67.7,0.0,2,2,0.0,0.0,20,0,0,5,0,1.7,15.0,2,19,1,0, Akuna 4_45, Sirius Star_57, Port, Port, Bow, Bow,5000,2895,180,359,180,180, has strong left, is CBDR,5000,19, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , ,
600.2,0.38, Answer,0.0,12.0,0,2,2.0,0.0,0,0,0,0,5,0.0,2.0,0,0,0,1,0, Tractor Tug 50_95, Grand Princess_115, Port, Port, Bow, Bow,2800,8949,180,328,180,26, has strong left, is CBDR,5000,0, Port, Port, Bow, Quarter,8,8, Head On, Crossing, Giveway, Stand on, turn to starboard, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
642.4, Answer,0.0,19.7,0.0,0,2,0.0,0.0,0,0,0,0,0,1.7,15.0,0,0,1,0, Hook Vessels, MV Serius Star_175, Port, Stbd, Bow, Bow,5000,6708,180,32,180,314, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Stand on, Giveway, hold course and speed, turn to starboard, 30 deg, 30 deg, hold speed, hold speed, , ,
753.2, Answer,0.0,47.7,0.0,2,2,0.0,0.0,0,0,0,5,0,1.7,15.0,2,19,1,0, Hook Vessels, TurboCat_237, Port, Port, Bow, Bow,5000,12707,180,327,180,16, has strong left, is CBDR,5000,0, Port, Port, Bow, Quarter,6,8, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , ,
871.6, Answer,0.0,31.7,0.0,2,2,0.0,0.0,20,0,0,5,0,1.7,0.0,0,0,1,0, Hook Vessels, Tractor Tug 50_301, Port, Port, Bow, Bow,5000,3177,180,359,180,180, has strong left, is CBDR,5000,5, Port, Port, Bow, Beam,6,8, Crossing, Overtaking, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , ,
