Student14_2024_02_28_12_23, 2024-02-28 12:23
Time, Difficulty, EventType, Latency, Student Name, Score, TargetVesselTypeScore, TargetIsPortStarboardScore, TargetIsBowBeamSternScore, TargetRangeScore, TargetBearingScore, TargetAngleScore, TargetBearingDriftScore, TargetCPAIsPortStarboardScore, TargetCPAIsBowBeamSternScore, TargetCPARangeScore, RuleTypeScore, StandOnGiveWayScore, ActionScore, DegreesScore, SpeedScore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPARangechosen, TargetCPARangecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, 
0024.4, None, GameMode, -1, Quiz
0024.4, None, Continue, -1, Continue
0377.4, Intermediate, Answer, 0, Student14, 65, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, MV Serius Star2, MV Serius Star2, Port, Port, Bow, Bow, 10465, 4973.369, 335, 335.8847, 25, 10.21869, no, No, Port, Starboard, Bow, Beam, 8376, 28.34292, Crossing, Crossing, Give Way, Stand On, Turn To Starboard, Hold Course And Speed, 10 degrees, 0 degrees, 10 degrees, , 
0607.9, Intermediate, Answer, 0, Student14, 46, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, HOS Brigadoon25, HOS Brigadoon18, Port, Starboard, Bow, Broad On Bow, 10986, 4899.594, 360, 47.55795, 0, 336.4297, no, No, Port, Port, Bow, Broad On Bow, 10860, 200.8639, Head On, Crossing, Give Way, Give Way, Turn To Starboard, Turn To Starboard, 10 degrees, 50 degrees, 10 degrees, , 
0867.4, Intermediate, Answer, 0, Student14, 69, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, TurboCat44, HOS Brigadoon38, Starboard, Port, Broad On Quarter, Bow, 6732, 5475.074, 156.5, 343.4297, 30, 7.79483, no, No, Starboard, Starboard, Broad On Quarter, Beam, 6359, 35.84981, Overtaking, Crossing, Stand On, Stand On, Hold Course And Speed, Hold Course And Speed, 0 degrees, 0 degrees, 10 degrees, , 
