Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,Unnamed: 54
99.0, Answer,0.0,50.0,2.0,2,2,0.0,0.0,0,0,0,5,0,2.0,15.0,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,8200,7138,346,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,8,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , ,
237.0,0.25, Answer,0.0,47.4,2,0,2.0,1.7,3,0,0,0,0,0.0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,8600,7755,25,25,180,325, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
387.0,0.29, Answer,0.0,69.7,2,2,2.0,0.0,0,20,0,0,5,0.0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Port, Bow, Bow,5000,3660,180,359,180,180, has strong left, is CBDR,5000,19, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
467.0,0.32, Answer,0.0,69.7,2,2,2.0,0.0,0,20,0,0,5,0.0,1.7,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,5000,3483,180,359,180,180, has strong left, is CBDR,5000,12, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
579.0,0.34, Answer,0.0,47.7,2,0,2.0,0.0,0,0,0,0,5,0.0,1.7,15,2,19,1,0, Tanker, Tanker, Port, Stbd, Bow, Bow,5000,7075,180,29,180,318, has strong left, is CBDR,5000,0, Port, Port, Bow, Broad,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
725.0,0.38, Answer,0.0,68.0,2,2,2.0,0.0,0,20,0,0,5,0.0,0.0,15,2,19,1,0, Pusher Pup_57, Pusher Pup_57, Port, Port, Bow, Bow,5000,2652,180,359,180,180, has strong left, is CBDR,5000,9, Port, Port, Bow, Beam,12,7, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
863.0, Answer,0.0,49.7,0.0,2,2,2.0,0.0,0,0,0,5,0,1.7,15.0,2,19,1,0, Hook Vessels, Tractor Tug 50_115, Port, Port, Bow, Bow,5000,5103,180,337,180,74, has strong left, is CBDR,5000,0, Port, Port, Bow, Quarter,6,8, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , ,
943.0,0.4, Answer,0.0,26.0,0,0,2.0,0.0,0,0,0,0,0,0.0,2.0,0,2,19,1,0, Akuna 4_149, Yavuz_171, Port, Stbd, Bow, Bow,1200,2791,14,0,0,179, has strong left, is CBDR,5000,33, Port, Stbd, Bow, Beam,8,7, Head On, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
1041.0,0.42, Answer,0.0,49.0,0,0,2.0,0.0,3,0,0,0,5,0.0,2.0,15,2,19,1,0, Yavuz_215, Yavuz_235, Port, Stbd, Bow, Bow,3600,6813,6,1,180,357, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,7, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
1159.0, Answer,0.0,31.7,0.0,2,2,0.0,0.0,20,0,0,5,0,1.7,0.0,0,0,1,0, Hook Vessels, Tractor Tug 50_301, Port, Port, Bow, Bow,5000,3177,180,359,180,180, has strong left, is CBDR,5000,5, Port, Port, Bow, Beam,6,8, Crossing, Overtaking, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , ,
